Category,Relation,Dataset,models,f1_score,Precision,Recall,Execution_Time,Model,Dataset Name,noise,models_y,Relation Type,Relation_binaire,Source 1 Attribute Count,Source 2 Attribute Count,Common Attribute Count,pourcentage_commun,Precision Median,Recall Median,F1 Score Median,ngcd_at_median,Precision (Top n%),Recall (Top n%),F1 Score (Top n%),ngcd_at_n,Precision (Top 2n%),Recall (Top 2n%),F1 Score (Top 2n%),ngcd_at_2n,F1 Score (Top 25),ngcd_at_25,F1 Score (Top 20),ngcd_at_20,F1 Score (Top 15),ngcd_at_15,F1 Score (Top 10),ngcd_at_10,F1 Score (Top 7),ngcd_at_7,F1 Score (Top 5),ngcd_at_5,Execution_Time_y
ChEMBL,View-Unionable,assays_both_0_1_ac4_ev,facebook/bart-base,0.0,0.0,0.0,67.81697797775269,facebook/bart-base,assays_both_0_1_ac4_ev,5,facebook/bart-base,View-Unionable,No Semantically,12,12,1,8,0.08,1.0,0.15,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.67,1.0,0.08,1.0,0.1,1.0,0.12,1.0,0.18,1.0,0.25,1.0,0.33,1.0,67.81697797775269
ChEMBL,View-Unionable,assays_both_0_1_ac4_ev,gpt,0.1538461538461538,0.0833333333333333,1.0,21.18015623092652,gpt,assays_both_0_1_ac4_ev,5,gpt,View-Unionable,No Semantically,12,12,1,8,0.08,1.0,0.15,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.67,1.0,0.08,1.0,0.1,1.0,0.12,1.0,0.18,1.0,0.25,1.0,0.33,1.0,21.18015623092652
ChEMBL,View-Unionable,assays_both_0_1_ac4_ev,roberta-base,0.1538461538461538,0.0833333333333333,1.0,27.48669719696045,roberta-base,assays_both_0_1_ac4_ev,5,roberta-base,View-Unionable,No Semantically,12,12,1,8,0.08,1.0,0.15,0.63,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.63,0.0,0.63,0.0,0.63,0.0,0.63,0.0,0.63,0.0,0.63,0.0,0.63,27.48669719696045
ChEMBL,View-Unionable,assays_both_0_30_ac4_ev,bert-base-uncased,0.6,0.4285714285714285,1.0,42.93148398399353,bert-base-uncased,assays_both_0_30_ac4_ev,5,bert-base-uncased,View-Unionable,No Semantically,14,15,6,41,0.36,0.83,0.5,0.84,0.5,0.5,0.5,0.6,0.33,0.5,0.4,0.7,0.32,0.86,0.37,0.86,0.44,0.86,0.44,0.7,0.53,0.7,,,42.93148398399353
ChEMBL,View-Unionable,assays_both_0_30_ac4_ev,distilbert-base-uncased,0.3,0.2142857142857142,0.5,33.22366285324097,distilbert-base-uncased,assays_both_0_30_ac4_ev,5,distilbert-base-uncased,View-Unionable,No Semantically,14,15,6,41,0.21,0.5,0.3,0.35,0.33,0.33,0.33,0.22,0.25,0.33,0.29,0.31,0.28,0.53,0.32,0.53,0.3,0.38,0.25,0.22,0.31,0.22,,,33.22366285324097
ChEMBL,View-Unionable,assays_both_0_30_ac4_ev,sentence-transformers/all-MiniLM-L6-v2,0.3,0.2142857142857142,0.5,26.08840703964233,sentence-transformers/all-MiniLM-L6-v2,assays_both_0_30_ac4_ev,5,sentence-transformers/all-MiniLM-L6-v2,View-Unionable,No Semantically,14,15,6,41,0.29,0.67,0.4,0.69,0.33,0.33,0.33,0.49,0.25,0.33,0.29,0.58,0.28,0.8,0.32,0.8,0.3,0.65,0.25,0.49,0.31,0.49,,,26.08840703964233
ChEMBL,View-Unionable,assays_both_0_30_ac4_ev,albert-base-v2,0.4,0.2857142857142857,0.6666666666666666,39.5050699710846,albert-base-v2,assays_both_0_30_ac4_ev,5,albert-base-v2,View-Unionable,No Semantically,14,15,6,41,0.29,0.67,0.4,0.66,0.5,0.5,0.5,0.53,0.33,0.5,0.4,0.61,0.32,0.76,0.37,0.76,0.4,0.69,0.37,0.53,0.46,0.53,,,39.5050699710846
ChEMBL,View-Unionable,assays_both_0_30_ac4_ev,facebook/bart-base,0.4,0.2857142857142857,0.6666666666666666,121.62558102607728,facebook/bart-base,assays_both_0_30_ac4_ev,5,facebook/bart-base,View-Unionable,No Semantically,14,15,6,41,0.29,0.67,0.4,0.71,0.33,0.33,0.33,0.49,0.25,0.33,0.29,0.58,0.28,0.81,0.32,0.81,0.3,0.66,0.32,0.58,0.31,0.49,,,121.62558102607728
ChEMBL,View-Unionable,assays_both_0_30_ac4_ev,gpt,0.6,0.4285714285714285,1.0,42.98508882522583,gpt,assays_both_0_30_ac4_ev,5,gpt,View-Unionable,No Semantically,14,15,6,41,0.36,0.83,0.5,0.87,0.67,0.67,0.67,0.78,0.33,0.67,0.44,0.78,0.35,0.92,0.41,0.92,0.38,0.78,0.5,0.78,0.62,0.78,,,42.98508882522583
ChEMBL,View-Unionable,assays_both_0_30_ac4_ev,roberta-base,0.5,0.3571428571428571,0.8333333333333334,44.234379053115845,roberta-base,assays_both_0_30_ac4_ev,5,roberta-base,View-Unionable,No Semantically,14,15,6,41,0.21,0.5,0.3,0.34,0.17,0.17,0.17,0.12,0.33,0.17,0.22,0.39,0.2,0.54,0.21,0.54,0.22,0.47,0.21,0.31,0.21,0.22,,,44.234379053115845
